id,name,district,country,code,country_code,lat,long,height,c10,c11,c12,c13,c14,code_1,lat_1,long_1,height_1,name_1,year,tavg,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,w31,w32,w33,w34,w35,w36,w37,w38,w39,w40,w41,w42,w43,w44,w45,w46,w47,w48,w49,w50,w51,w52,dist_cf
1,Goroka Airport,Goroka,Papua New Guinea,GKA,AYGA,-6.081689834590001,145.391998291,5282,10,U,Pacific/Port_Moresby,airport,OurAirports,PPXLT158394,-6.07,145.38,1587,GOROKA,1967,TAVG,2045,2055,2020,2040,2010,1950,1909,1895,1970,1970,2015,2055,2055,2051,2046,2049,2055,2058,2057,2052,2043,2033,2024,2020,2022,2028,2035,2040,2040,2035,2027,2016,2002,1988,1973,1959,1947,1936,1927,1918,1909,1900,1892,1889,1892,1905,1924,1945,1963,1973,1976,1973,1970,1970,1976,1986,1999,2013,2026,2038,2047,2053,2056,2056,2
2,Madang Airport,Madang,Papua New Guinea,MAG,AYMD,-5.20707988739,145.789001465,20,10,U,Pacific/Port_Moresby,airport,OurAirports,PPXLT482483,-5.2,145.8,12,MADANG,1993,TAVG,2720,2690,2710,2710,2760,2710,2720,2650,2570,2820,2770,2750,2741,2732,2723,2712,2702,2695,2690,2691,2695,2702,2707,2710,2709,2706,2705,2709,2720,2735,2750,2759,2758,2747,2732,2717,2708,2708,2712,2718,2720,2716,2705,2686,2659,2624,2589,2563,2559,2586,2644,2714,2780,2824,2836,2823,2798,2773,2757,2751,2750,2750,2749,2744,1
3,Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea,HGU,AYMH,-5.826789855957031,144.29600524902344,5388,10,U,Pacific/Port_Moresby,airport,OurAirports,PPXLT512596,-5.48,143.72,1981,WABAG_SUB_DISTRICT,1959,TAVG,1761,1722,1756,1706,1697,1642,1617,1622,1662,1652,1677,1742,1756,1759,1761,1750,1736,1726,1721,1724,1733,1745,1754,1756,1748,1735,1720,1707,1701,1700,1701,1699,1692,1681,1666,1651,1639,1630,1624,1620,1617,1615,1614,1616,1620,1628,1639,1650,1659,1663,1662,1659,1654,1652,1652,1656,1664,1675,1690,1706,1722,1737,1748,1754,74
4,Nadzab Airport,Nadzab,Papua New Guinea,LAE,AYNZ,-6.569803,146.725977,239,10,U,Pacific/Port_Moresby,airport,OurAirports,PPXLT177449,-6.73,147,8,LAE_MO,1990,TAVG,2810,2850,2890,2740,2680,2590,2570,2570,2530,2630,2710,2810,2821,2818,2812,2814,2821,2829,2841,2858,2876,2891,2897,2887,2860,2822,2781,2744,2720,2706,2696,2686,2670,2649,2626,2603,2586,2575,2569,2568,2570,2573,2576,2577,2572,2562,2547,2534,2528,2534,2553,2579,2607,2633,2654,2671,2688,2707,2731,2757,2782,2803,2816,2821,35
5,Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea,POM,AYPY,-9.443380355834961,147.22000122070312,146,10,U,Pacific/Port_Moresby,airport,OurAirports,PP000092035,-9.383,147.217,48,PORT_MORESBY_WO,2019,TAVG,2763,2823,2715,2757,2727,2670,2535,2650,2665,2775,2795,2855,2830,2803,2772,2782,2806,2823,2827,2816,2790,2758,2730,2714,2715,2727,2743,2756,2759,2753,2743,2731,2722,2715,2706,2689,2661,2621,2581,2548,2535,2547,2577,2613,2644,2660,2662,2660,2660,2672,2696,2726,2756,2777,2787,2789,2789,2794,2807,2825,2843,2854,2853,2839,7
6,Wewak International Airport,Wewak,Papua New Guinea,WWK,AYWK,-3.58383011818,143.669006348,19,10,U,Pacific/Port_Moresby,airport,OurAirports,PPM00092004,-3.584,143.669,5.8,WEWAK_INTL,2000,TAVG,2765,2775,2745,2660,2730,2720,2650,2696,2755,2750,2775,2745,2747,2754,2762,2767,2770,2773,2774,2775,2774,2769,2759,2742,2718,2693,2671,2660,2664,2680,2702,2723,2737,2742,2740,2730,2715,2696,2676,2659,2650,2650,2659,2673,2691,2709,2726,2741,2752,2756,2756,2752,2750,2750,2756,2764,2772,2775,2772,2764,2755,2747,2744,2745,0
7,Narsarsuaq Airport,Narssarssuaq,Greenland,UAK,BGBW,61.1604995728,-45.4259986877,112,-3,E,America/Godthab,airport,OurAirports,GLE00147281,61.1667,-45.4167,27,MITT_NARSARSUAQ,2017,TAVG,-522,-484,-179,-65,805,1092,1086,1010,642,215,-93,-179,-308,-397,-494,-532,-541,-537,-511,-457,-378,-292,-219,-175,-169,-172,-154,-82,69,279,510,726,891,997,1056,1084,1094,1096,1094,1090,1086,1083,1075,1058,1024,968,891,800,701,598,496,395,297,202,111,29,-38,-88,-115,-129,-141,-164,-207,-273,1
8,Godthaab / Nuuk Airport,Godthaab,Greenland,GOH,BGGH,64.19090271,-51.6781005859,283,-3,E,America/Godthab,airport,OurAirports,GL000004250,64.1667,-51.75,80,NUUK,2019,TAVG,-660,-510,-710,-150,310,620,780,720,450,220,-40,-570,-664,-670,-663,-611,-550,-508,-498,-529,-595,-666,-713,-704,-624,-491,-332,-172,-32,85,185,274,357,436,509,577,636,687,729,760,780,788,783,765,732,684,624,557,488,422,362,308,258,214,172,124,61,-25,-142,-277,-413,-530,-611,-655,4
9,Kangerlussuaq Airport,Sondrestrom,Greenland,SFJ,BGSF,67.0122218992,-50.7116031647,165,-3,E,America/Godthab,airport,OurAirports,GLW00016504,67.0167,-50.8,50.3,SONDRESTROM,2018,TAVG,-2123,-2476,-1567,-561,51,977,1082,961,398,-624,-1284,-1293,-1582,-1804,-2051,-2234,-2372,-2468,-2498,-2438,-2285,-2066,-1804,-1528,-1257,-1004,-777,-585,-433,-305,-178,-27,170,405,646,859,1013,1092,1115,1105,1082,1064,1047,1021,978,908,807,674,508,308,78,-168,-417,-657,-874,-1057,-1196,-1278,-1297,-1278,-1257,-1269,-1348,-1499,4
10,Thule Air Base,Thule,Greenland,THU,BGTL,76.5311965942,-68.7032012939,251,-4,E,America/Thule,airport,OurAirports,GLW00017602,76.55,-68.8167,38.1,THULE,1981,TAVG,-2480,-2710,-2280,-1829,-610,250,610,330,-160,-750,-960,-1650,-2039,-2232,-2425,-2549,-2636,-2698,-2721,-2689,-2606,-2493,-2372,-2267,-2187,-2110,-2009,-1857,-1631,-1349,-1040,-733,-458,-225,-27,143,290,417,517,584,610,591,535,454,358,259,155,43,-81,-223,-378,-530,-663,-761,-818,-852,-887,-948,-1053,-1200,-1375,-1566,-1762,-1956,4
11,Akureyri Airport,Akureyri,Iceland,AEY,BIAR,65.66000366210938,-18.07270050048828,6,0,N,Atlantic/Reykjavik,airport,OurAirports,IC000004063,65.68,-18.0794,27,AKUREYRI,2019,TAVG,-85,-115,30,765,675,1010,1250,1000,920,330,-50,-55,-59,-69,-81,-88,-92,-99,-108,-121,-129,-116,-62,50,226,429,618,753,800,778,726,682,683,736,825,932,1040,1134,1206,1248,1250,1210,1144,1071,1011,984,980,978,953,884,766,619,460,310,183,81,5,-45,-69,-74,-68,-58,-53,-56,2
12,Egilsstaðir Airport,Egilsstadir,Iceland,EGS,BIEG,65.2833023071289,-14.401399612426758,76,0,N,Atlantic/Reykjavik,airport,OurAirports,ICM00004089,65.283,-14.4,23,EGILSSTADIR,2013,TAVG,125,200,-193,-121,440,1014,1169,1021,622,307,17,-224,-120,-22,91,162,205,229,222,173,85,-21,-124,-202,-240,-239,-203,-133,-35,86,225,374,528,679,820,942,1038,1105,1146,1166,1169,1160,1136,1098,1041,965,874,775,676,584,503,429,362,298,235,171,103,28,-53,-131,-193,-224,-211,-155,0
13,Hornafjörður Airport,Hofn,Iceland,HFN,BIHN,64.295601,-15.2272,24,0,N,Atlantic/Reykjavik,airport,OurAirports,ICM00004082,64.296,-15.227,7.3,HORNAFJORDUR,2017,TAVG,185,420,310,405,780,950,1180,1105,1015,680,60,0,78,124,171,240,313,372,410,421,404,371,335,307,297,307,339,395,474,568,664,750,813,855,887,920,965,1024,1088,1144,1180,1187,1171,1143,1113,1089,1072,1055,1032,999,949,879,784,660,509,348,196,74,-2,-35,-35,-13,20,60,0
