code,lat,long,height,name,year,tavg,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12
ACW00011604,57.7667,11.8667,18,SAVE,2012,TAVG,121,-98,592,646,1365,1426,1771,1748,1362,826,620,-234
AE000041196,25.333,55.517,34,SHARJAH_INTER_AIRP,2019,TAVG,2051,2038,2225,2787,3164,3538,3610,3595,3375,3023,2353,2143
AEM00041184,25.617,55.933,31,RAS_AL_KHAIMAH_INTE,2013,TAVG,1897,2035,2331,2759,3126,3405,3678,3599,3363,2985,2416,1988
AEM00041194,25.255,55.364,10.4,DUBAI_INTL,2019,TAVG,2219,2164,2308,2899,3242,3680,3671,3711,3517,3190,2568,2334
AEM00041216,24.43,54.47,3,ABU_DHABI_BATEEN_AIR,2013,TAVG,2042,2125,2431,2850,3130,3259,3666,3645,3418,3021,2639,2197
AEM00041217,24.433,54.651,26.8,ABU_DHABI_INTL,2019,TAVG,2165,2085,2290,2880,3205,3670,3670,3745,3590,3240,2485,2255
AEM00041218,24.262,55.609,264.9,AL_AIN_INTL,2019,TAVG,2048,2007,2241,2892,3309,3786,3667,3748,3537,3136,2376,2127
AFM00040911,36.7,67.2,378,MAZAR_I_SHARIF,1990,TAVG,440,700,1050,1850,2270,3300,3330,3130,2600,1780,1090,730
AFM00040938,34.21,62.228,977.2,HERAT,2019,TAVG,810,702,1311,1708,2375,2823,3254,2914,2518,1808,821,865
AFM00040948,34.566,69.212,1791.3,KABUL_INTL,2019,TAVG,49,138,695,1561,1931,2364,2823,2645,2361,1488,773,360
AFM00040990,31.5,65.85,1010,KANDAHAR_AIRPORT,2019,TAVG,942,828,1404,2220,2590,2989,3379,3176,2726,2131,1138,963
AFXLT299877,34.5,65.3,2230,CHAKHCHARAN,1990,TAVG,-560,-830,-290,800,1520,1760,1660,1950,1440,710,170,-440
AG000060390,36.7167,3.25,24,ALGER_DAR_EL_BEIDA,2018,TAVG,1205,1065,1435,1625,1740,2165,2640,2635,2500,2025,1640,1295
AG000060590,30.5667,2.8667,397,EL_GOLEA,2019,TAVG,890,1100,1595,2110,2585,3215,3515,3525,3045,2270,1480,1225
AG000060611,28.05,9.6331,561,IN_AMENAS,2019,TAVG,955,1140,1745,2340,2765,3255,3315,3280,3065,2395,1675,1400
AG000060680,22.8,5.4331,1362,TAMANRASSET,2018,TAVG,1420,1495,1935,2365,2775,3115,3075,2860,2765,2410,1975,1425
AGE00135039,35.7297,-0.65,50,ORAN_HOPITAL_MILITAIRE,1960,TAVG,1125,1394,1517,1600,1984,2335,2551,2603,2294,1903,1665,1126
AGE00147704,36.97,7.79,161,ANNABA_CAP_DE_GARDE,1935,TAVG,921,1228,1281,1631,1720,2265,2551,2666,2466,2023,1671,1380
AGE00147705,36.78,3.07,59,ALGIERS_VILLE_UNIVERSITE,1961,TAVG,1035,1215,1210,1735,1950,2255,2480,2350,2430,1875,1604,1254
AGE00147706,36.8,3.03,344,ALGIERS_BOUZAREAH,1920,TAVG,1050,1137,1206,1521,1821,2103,2422,2373,2229,1783,1324,1141
AGE00147707,36.8,3.04,38,ALGIERS_CAP_CAXINE,1930,TAVG,1280,1107,1535,1581,1895,2230,2464,2542,2401,2180,1865,1450
AGE00147708,36.72,4.05,222,TIZI_OUZOU,1934,TAVG,917,968,1110,1560,1961,2463,2811,2662,2510,1901,1473,1277
AGE00147709,36.63,4.2,942,FORT_NATIONAL,1961,TAVG,450,1020,1054,1440,1900,2125,2575,2345,2450,1570,1195,975
AGE00147710,36.75,5.1,9,BEJAIA_BOUGIE_PORT,2014,TAVG,1427,1395,1310,1690,1820,2245,2434,2590,2605,2205,1885,1320
AGE00147711,36.3697,6.62,660,CONSTANTINE,2012,TAVG,620,370,1010,1270,1780,2560,2740,2830,2170,1840,1290,780
AGE00147712,36.17,1.34,112,ORLEANSVILLE_CHLEF,1940,TAVG,1014,1340,1675,1785,2075,2290,2880,2865,2565,1884,1500,860
AGE00147713,36.18,5.4,1081,SETIF,1989,TAVG,531,671,1071,1041,1691,1991,2551,2611,2091,1571,1201,971
AGE00147714,35.77,0.8,78,ORAN_CAP_FALCON,1938,TAVG,1266,1235,1384,1528,1800,2238,2479,2526,2228,2024,1780,1374
AGE00147715,35.42,8.1197,863,TEBESSA,2014,TAVG,805,910,890,1495,1879,2325,2734,2810,2475,1950,1435,775
AGE00147716,35.1,-1.85,83,NEMOURS_GHAZAOUET,2019,TAVG,1235,1235,1425,1600,1900,2130,2515,2585,2350,1995,1675,1520
AGE00147718,34.85,5.72,125,BISKRA,2019,TAVG,1215,1325,1700,2110,2435,3385,3545,3505,3005,2460,1590,1535
AGE00147719,33.7997,2.89,767,LAGHOUAT,2019,TAVG,780,905,975,1705,2175,3049,3190,3090,2640,1970,1305,1063
AGE00147720,33.68,1,1320,GERYVILLE_EL_BAYADH,1961,TAVG,330,800,889,1460,1904,2175,2630,2555,2290,1510,1060,695
AGM00060351,36.795,5.874,11,JIJEL,2018,TAVG,1240,1080,1430,1430,1775,2195,2630,2600,2565,2030,1680,1365
AGM00060353,36.817,5.883,6,JIJEL_PORT,2011,TAVG,1250,1220,1464,1743,1964,2245,2631,2617,2449,2107,1770,1405
AGM00060355,36.933,6.95,7,SKIKDA,2019,TAVG,1205,1285,1515,1645,1917,2350,2695,2885,2500,2225,1655,1605
AGM00060360,36.822,7.809,4.9,ANNABA,2019,TAVG,1085,1135,1360,1555,1725,2325,2615,2725,2380,2105,1545,1420
AGM00060367,36.9,8.45,13,EL_KALA,2012,TAVG,1160,830,1340,1630,1859,2350,2630,2695,2425,2070,1785,1305
AGM00060369,36.767,3.1,12,ALGER_PORT,2019,TAVG,1342,1420,1595,1693,1934,2275,2650,2744,2487,2240,1745,1685
AGM00060387,36.917,3.95,8,DELLYS,2012,TAVG,1234,860,1350,1620,1800,2355,2465,2705,2334,2190,1770,1425
AGM00060402,36.712,5.07,6.1,SOUMMAM,2019,TAVG,1095,1230,1445,1600,1805,2285,2490,2750,2435,2110,1560,1435
AGM00060403,36.467,7.467,228,GUELMA,2019,TAVG,920,985,1220,1500,1685,2530,2810,2910,2430,1995,1420,1305
AGM00060405,36.5,7.717,111,BOUCHEGOUF,2019,TAVG,1040,1120,1385,1685,1850,2635,2865,3030,2570,2175,1495,1405
AGM00060410,36.5,1.333,18,TENES,2013,TAVG,1400,1285,1669,1675,1835,2129,2475,2625,2480,2329,1600,1405
AGM00060415,36.317,3.533,748,AIN_BESSAM,2019,TAVG,670,865,1165,1370,1690,2575,2810,2825,2360,1855,1135,1105
AGM00060417,36.383,3.883,560,BOUIRA,2013,TAVG,860,760,1240,1485,1670,2110,2724,2655,2370,2275,1210,920
AGM00060419,36.276,6.62,690.4,MOHAMED_BOUDIAF_INTL,2018,TAVG,880,670,1125,1400,1660,2205,2855,2445,2350,1650,1215,920
AGM00060421,35.867,7.117,891,OUM_EL_BOUAGHI,2019,TAVG,505,600,960,1275,1495,2575,2785,2745,2270,1725,1005,965
AGM00060423,36.283,7.967,680,SOUK_AHRAS,2018,TAVG,955,685,1095,1445,1620,2090,2780,2375,2325,1650,1250,1000
AGM00060425,36.213,1.332,141.1,ECH_CHELIFF,2019,TAVG,975,1190,1480,1680,2185,2615,3145,3070,2690,2180,1495,1410
AGM00060430,36.3,2.233,721,MILIANA,2019,TAVG,775,1070,1330,1425,1875,2555,2985,2950,2490,1985,1110,1185
AGM00060437,36.283,2.733,1036,MEDEA,2019,TAVG,490,725,965,1125,1515,2415,2760,2650,2185,1670,845,945
AGM00060444,36.067,4.767,930,BORDJ_BOU_ARRERIDJ,2019,TAVG,575,780,1120,1425,1675,2730,2975,2890,2340,1835,1035,1041
AGM00060445,36.178,5.324,1050,SETIF_AIN_ARNAT,2019,TAVG,360,550,930,1225,1450,2540,2775,2700,2165,1620,835,793
AGM00060452,35.817,-0.267,4,ARZEW,2019,TAVG,1255,1350,1570,1710,2015,2220,2680,2650,2420,2040,1670,1560
AGM00060457,35.883,0.117,138,MOSTAGANEM,2019,TAVG,1015,1095,1355,1545,1915,2200,2745,2740,2455,1975,1590,1415
AGM00060461,35.7,-0.65,22,ORAN_PORT,2013,TAVG,1430,1340,1630,1630,1880,2070,2425,2600,2430,2240,1620,1425
AGM00060467,35.667,4.5,442,M'SILA,2015,TAVG,979,975,1476,2128,2621,2875,3343,3250,2739,2080,1522,1068
AGM00060468,35.55,6.183,1052,BATNA,2019,TAVG,450,605,935,1330,1540,2615,2785,2755,2285,1720,1025,890
AGM00060475,35.432,8.121,811.1,CHEIKH_LARBI_TEBESSI,2019,TAVG,555,620,930,1335,1560,2615,2815,2760,2280,1735,1045,950
AGM00060476,35.467,7.083,987,KHENCHELLA,2019,TAVG,525,590,930,1315,1525,2635,2770,2695,2235,1710,1010,955
AGM00060490,35.624,-0.621,89.9,ES_SENIA,2019,TAVG,1065,1195,1490,1670,2050,2250,2715,2750,2465,2035,1545,1420
AGM00060506,35.6,0.3,476,MASCARA_MATEMORE,2007,TAVG,1152,1402,1327,1545,1954,2296,2557,2630,2400,1785,1160,880
AGM00060507,35.208,0.147,513.9,GHRISS,2019,TAVG,805,1030,1325,1500,1980,2330,2800,2795,2430,1905,1335,1180
